EntryOrder,proofed?,check date,TrapNights,CounterChange,Month,time,checker,station, trap status, bait type, bait condition, co2 cartridge present, counter present, counter number, test fire, counter status, excluder present,number bodies,maintenance,lateral distance,height,(New) Trap ID,trap status,test fire,co2 status,counter present,counter status,counter number,bait type,bait condition,excluder present,Old Trap ID,TKO,notes,Black Rat,Poly Rat,Rat Spp,Mouse,Rodent Spp,All Rat,All Rodent,proofed,proofed by,proof date
532,JMH,4/24/2019,0,#N/A,4,15:29,KSL,A00,Open,choc,Old,Yes,Yes,2,Pass,Working,No,0,,,,,Open,Pass,Old,Yes,Working,3,choc,Old,No,,,,,,,,,0,0,TRUE,,
189,JMH,7/4/2019,71,0,7,15:20,ADJ,A00,Open,choc,Old,Yes,Yes,3,Pass,Working,No,0,,,Low,,Open,Pass,Old,Yes,Working,5,choc,Old,No,,,,,,,,,0,0,TRUE,,
31,JMH,11/18/2019,137,3,11,15:50,TAW,A00,Open,choc,Old,Yes,Yes,8,Pass,Working,No,0,,,Low,,Open,Pass,New,Yes,Working,0,choc,New,No,,,,,,,,,0,0,TRUE,,
1026,JMH,3/25/2020,128,4,3,12:44,BBT,A00,Open,choc,Old,Yes,Yes,4,Fail,Working,No,0,,,Low,,Open,Pass,New,Yes,Working,1,choc,New,No,,,,,,,,,0,0,TRUE,,
557,JMH,4/23/2019,0,#N/A,4,17:55,DJM,A01,Open,choc,Old,Yes,Yes,21,Pass,Working,No,0,,,High,,Open,Pass,Old,Yes,Working,1,choc,Old,No,,,,,,,,,0,0,TRUE,,
187,JMH,7/4/2019,72,#VALUE!,7,14:51,ADJ,A01,Open,choc,Old,Yes,Yes,NA,Pass,Broken,No,0,,,High,,Open,Pass,Old,Yes,Working,1,choc,Old,No,,,"Arrival counter actually 0, so CC negative, so changed to NA and Broken",,,,,,0,0,TRUE,,
32,JMH,11/18/2019,137,0,11,16:10,TAW,A01,Open,choc,Old,Yes,Yes,1,Pass,Working,No,0,,,High,,Open,Pass,New,Yes,Working,0,choc,New,No,,,,,,,,,0,0,TRUE,,
1070,JMH,3/23/2020,126,2,3,15:39,KSW,A01,Open,choc,Old,Yes,Yes,2,Pass,Working,No,0,,,High,,Open,Pass,New,Yes,Working,1,choc,New,No,,,,,,,,,0,0,TRUE,,
556,JMH,4/23/2019,0,#N/A,4,17:45,DJM,A02,Open,choc,Old,Yes,Yes,1,Pass,Working,No,0,,,High,,Open,Pass,Old,Yes,Working,1,choc,Old,No,,,,,,,,,0,0,TRUE,,
186,JMH,7/4/2019,72,0,7,14:32,ADJ,A02,Open,choc,Old,Yes,Yes,1,Pass,Working,No,0,,,High,,Open,Pass,Old,Yes,Working,3,choc,Old,No,,,,,,,,,0,0,TRUE,,
73,JMH,11/19/2019,138,0,11,11:35,AED,A02,Open,choc,Old,Yes,Yes,3,Pass,Working,No,0,,,High,,Open,Pass,New,Yes,Working,1,choc,New,No,,,deployed track tunnel,,,,,,0,0,TRUE,,
1069,JMH,3/23/2020,125,3,3,15:29,KSW,A02,Open,choc,Old,Yes,Yes,4,Fail,Low batt,No,0,,,High,,Open,Pass,New,Yes,Low batt,1,choc,New,No,,,"Out of CO2 upon arrival, counter  low",,,,,,0,0,TRUE,,
554,JMH,4/23/2019,0,#N/A,4,17:08,DJM,A03,Open,choc,Old,Yes,Yes,1,Pass,Working,No,0,,,High,,Open,Pass,New,Yes,Working,1,choc,Old,No,,,,,,,,,0,0,TRUE,,
393,JMH,7/4/2019,72,0,7,15:24,LAM,A03,Open,choc,Old,Yes,Yes,1,Pass,Working,No,0,,,High,,Open,Pass,Old,Yes,Working,3,choc,Old,No,,,,,,,,,0,0,TRUE,,
74,JMH,11/19/2019,138,2,11,12:01,AED,A03,Open,choc,Old,Yes,Yes,5,Pass,Working,No,3,,,High,PUAI309,Open,Pass,New,Yes,Working,1,choc,New,No,SN20766,,"1 black rat, 2 mus",1,,,2,,1,3,TRUE,,
1096,JMH,4/7/2020,140,1,4,11:40,KSW,A03,Open,choc,Old,Yes,Yes,2,Pass,Working,No,0,,,High,,Open,Pass,New,Yes,Working,1,choc,New,No,,,,,,,,,0,0,TRUE,,
553,JMH,4/23/2019,0,#N/A,4,16:52,DJM,A04,Open,choc,Old,Yes,Yes,6,Pass,Low batt,No,0,,,,,Open,Pass,Old,Yes,New,1,choc,Old,No,,,,,,,,,0,0,TRUE,,
202,JMH,7/4/2019,72,2,7,15:13,NJH,A04,Open,choc,Old,Yes,Yes,3,Pass,Working,No,1,,,Low,,Open,Pass,Old,Yes,Working,4,choc,Old,No,,,"1 fat black rat, LAM has photo",1,,,,,1,1,TRUE,,
75,JMH,11/19/2019,138,1,11,12:26,AED,A04,Open,choc,Old,Yes,Yes,5,Fail,Working,No,1,,,Low,,Open,Pass,New,Yes,Working,1,choc,New,No,,,Rat spp,,,1,,,1,1,TRUE,,
1032,JMH,3/25/2020,127,#VALUE!,3,14:41,BBT,A04,Open,choc,Old,Yes,Yes,NA,Pass,Broken,No,1,,,Low,,Open,Pass,New,No,NA,NA,choc,New,No,,,,1,,,,,1,1,TRUE,,
552,JMH,4/23/2019,0,#N/A,4,16:37,DJM,A05,Open,choc,Old,Yes,No,NA,Pass,NA,No,0,,,,,Open,Pass,New,Yes,New,1,choc,Old,No,trap happens to be about 20m from point,,,,,,,,0,0,TRUE,,
201,JMH,7/4/2019,72,0,7,15:05,NJH,A05,Open,choc,Old,Yes,Yes,1,Pass,Working,No,0,,,Low,,Open,Pass,Old,Yes,Working,3,choc,Old,No,,,,,,,,,0,0,TRUE,,
76,JMH,11/19/2019,138,1,11,12:47,AED,A05,Open,choc,Old,Yes,Yes,4,Pass,Working,No,2,,,Low,,Open,Pass,New,Yes,Working,1,choc,New,No,,,"1 Rat spp, 1 mouse",,,1,1,,1,2,TRUE,,
1109,JMH,3/25/2020,127,1,3,14:34,JMH,A05,Open,choc,Old,Yes,Yes,2,Pass,Low batt,No,0,,,Low,,Open,Pass,New,Yes,Low batt,1,choc,New,No,,,,,,,,,0,0,TRUE,,
551,JMH,4/23/2019,0,#N/A,4,16:19,DJM,A06,Open,choc,Old,Yes,No,NA,Pass,NA,No,0,,,High,,Open,Pass,New,Yes,New,1,choc,Old,No,,,,,,,,,0,0,TRUE,,
200,JMH,7/4/2019,72,0,7,14:47,NJH,A06,Open,choc,Old,Yes,Yes,1,Pass,Working,No,0,,,High,,Open,Pass,Old,Yes,Working,2,choc,Old,No,,,,,,,,,0,0,TRUE,,
35,JMH,11/19/2019,138,0,11,12:10,TAW,A06,Open,choc,Old,Yes,Yes,2,Pass,Working,No,0,,,High,,Open,Pass,New,Yes,Working,0,choc,New,No,,,,,,,,,0,0,TRUE,,
1022,JMH,3/24/2020,126,3,3,14:30,BBT,A06,Open,choc,Old,Yes,Yes,3,Fail,Working,No,0,,,High,,Open,Pass,New,Yes,Working,1,choc,New,No,,,,,,,,,0,0,TRUE,,
550,JMH,4/23/2019,0,#N/A,4,16:06,DJM,A07,Open,choc,Old,Yes,Yes,2,Fail,Working,No,0,,,,Yes,Open,Pass,New,Yes,Working,1,choc,Old,No,New trap from HHF06,,,,,,,,0,0,TRUE,,
392,JMH,7/4/2019,72,0,7,14:41,LAM,A07,Open,choc,Old,Yes,Yes,1,Pass,Working,No,0,,,Low,,Open,Pass,Old,Yes,Working,2,choc,Old,No,,,,,,,,,0,0,TRUE,,
36,JMH,11/19/2019,138,0,11,12:35,TAW,A07,Open,choc,Old,Yes,Yes,2,Pass,Working,No,0,,,Low,,Open,Pass,New,Yes,Working,0,choc,New,No,,,,,,,,,0,0,TRUE,,
1076,JMH,3/24/2020,126,2,3,14:25,KSW,A07,Open,choc,Old,Yes,Yes,2,Fail,Working,No,1,,,Low,,Open,Pass,New,Yes,Working,1,choc,New,No,,,CO2 gone,,,,1,,0,1,TRUE,,
545,JMH,4/23/2019,0,#N/A,4,14:40,DJM,A08,Open,choc,Old,Yes,Yes,3,Pass,Working,No,0,,,,,Open,Pass,New,Yes,Working,1,choc,Old,No,gps says something weird like A-B08,,,,,,,,0,0,TRUE,,
